service_id,filename,file_extension,is_mandatory,description,sort_order,is_active
SVC-IMM-001,"Passport Application Form",pdf,TRUE,"Official form to apply for a new Grenadian passport.",1,TRUE
SVC-IMM-001,"Birth Certificate (Copy)",pdf,TRUE,"Certified copy of applicant birth certificate.",2,TRUE
SVC-IMM-001,"Supporting Documents for Citizenship Status",pdf,FALSE,"Supporting documents if required for citizenship proof.",3,TRUE
SVC-IMM-002,"Passport Renewal Application Form",pdf,TRUE,"Form to renew an existing Grenadian passport.",1,TRUE
SVC-IMM-002,"Existing Passport Booklet (Scan or Copy)",pdf,TRUE,"Copy of current/expired passport for renewal.",2,TRUE
SVC-IMM-003,"Visa / Entry Permit Application Form",pdf,TRUE,"Official visa or entry permit application form.",1,TRUE
SVC-IMM-003,"Support / Invitation Letter",pdf,FALSE,"Invitation letter or other supporting document where applicable.",2,TRUE
SVC-LBR-001,"Work Permit Application Form",pdf,TRUE,"Application for work permit for non-nationals.",1,TRUE
SVC-LBR-001,"Employment Contract or Offer Letter",pdf,TRUE,"Evidence of employment offer from local employer.",2,TRUE
SVC-TAX-001,"Taxpayer Registration Application Form",pdf,TRUE,"Form to register as a taxpayer or business for TRN.",1,TRUE
SVC-TAX-001,"Business Registration/Constitution Document",pdf,FALSE,"Evidence of business registration or incorporation where applicable.",2,TRUE
SVC-TAX-004,"Tax Clearance Certificate Application Form",pdf,TRUE,"Form to request a tax clearance certificate.",1,TRUE
SVC-TAX-005,"E-User Registration Form",pdf,TRUE,"Form to request access to the online tax e-filing portal.",1,TRUE
SVC-TAX-008,"VAT Registration Application Form",pdf,TRUE,"Form to register for Value Added Tax (VAT).",1,TRUE
SVC-TAX-009,"VAT Return Form (Template)",pdf,FALSE,"Standard template used to file VAT returns.",1,TRUE
SVC-TAX-010,"Withholding Tax Return Form",pdf,FALSE,"Template used to file withholding tax returns.",1,TRUE
SVC-TAX-011,"Annual Stamp Tax Return Form",pdf,FALSE,"Template used to file annual stamp tax.",1,TRUE
SVC-TAX-012,"Gaming Tax Return Form",pdf,FALSE,"Template used to file gaming tax.",1,TRUE
SVC-TAX-013,"Refreshment House Licence Application Form",pdf,TRUE,"Form for applying for a Refreshment House licence.",1,TRUE
SVC-TAX-014,"Property Transfer Tax Declaration Form",pdf,TRUE,"Form used to declare and pay Property Transfer Tax.",1,TRUE
SVC-CUS-001,"Import Declaration (CUSDEC) Form",pdf,TRUE,"Customs declaration form for imports (e.g., ASYCUDA CUSDEC).",1,TRUE
SVC-CUS-002,"Export Declaration (CUSDEC) Form",pdf,TRUE,"Customs declaration form for exports.",1,TRUE
SVC-REG-001,"Birth Certificate Application Form",pdf,TRUE,"Application to request certified copy of a birth certificate.",1,TRUE
SVC-REG-002,"Marriage Certificate Application Form",pdf,TRUE,"Application to request certified copy of a marriage certificate.",1,TRUE
SVC-REG-003,"Death Certificate Application Form",pdf,TRUE,"Application to request certified copy of a death certificate.",1,TRUE
SVC-REG-004,"Marriage Licence Application Form",pdf,TRUE,"Form to apply for a marriage licence through the Cabinet Office.",1,TRUE
SVC-POL-001,"Police Certificate of Character Application Form",pdf,TRUE,"Application form for a police certificate of character.",1,TRUE
SVC-WAT-001,"New Water Connection Application Form",pdf,TRUE,"Form to request a new NAWASA water connection.",1,TRUE
SVC-WAT-001,"Location Sketch / Site Plan",pdf,FALSE,"Sketch showing location of the property for connection.",2,TRUE
SVC-ELC-001,"New Electricity Connection Application Form",pdf,TRUE,"Application for new GRENLEC electricity service.",1,TRUE
SVC-ELC-001,"Electrical Installation Layout (Simple Plan)",pdf,FALSE,"Basic layout of proposed electrical installation.",2,TRUE
SVC-TRM-001,"Tour Operator Licence Application Form",pdf,TRUE,"Official application form to operate as a tour operator.",1,TRUE
SVC-TRM-002,"Accommodation Registration Form",pdf,TRUE,"Form to register hotels/guest houses/accommodation facilities.",1,TRUE
SVC-TRM-003,"Tourist Vendor Licence Application Form",pdf,TRUE,"Form for applying for or renewing a tourist vendor licence.",1,TRUE
SVC-TRM-004,"Tourist Guide Licence Application Form",pdf,TRUE,"Form to apply for a tourist guide licence.",1,TRUE
SVC-TRM-005,"Water Sports Services Licence Application Form",pdf,TRUE,"Form to apply for a water sports service licence.",1,TRUE
SVC-AIR-001,"Airport Concession / Lease Application Form",pdf,TRUE,"Form used to request commercial concession or lease at the airport.",1,TRUE
SVC-NIS-001,"NIS Employer Registration Application Form",pdf,TRUE,"Form to register an employer with NIS.",1,TRUE
SVC-NIS-010,"NIS Sickness Benefit Claim Form",pdf,TRUE,"Claim form for Sickness Benefit.",1,TRUE
