service_id,service_name,entity_id,service_category,service_description,is_active
SVC-IMM-001,Passport Application,DEP-009,immigration_passports_and_travel,Apply for a new Grenadian passport.,True
SVC-IMM-002,Passport Renewal,DEP-009,immigration_passports_and_travel,Renew an existing Grenadian passport.,True
SVC-IMM-003,Visa / Entry Permit Application,DEP-009,immigration_passports_and_travel,Apply for or extend visas or entry permits to enter or remain in Grenada.,True
SVC-LBR-001,Work Permit Application,DEP-012,business_and_commerce,Apply for a work permit for foreign nationals to work in Grenada.,True
SVC-TAX-001,"Business Registration (Taxpayer Registration Number - TRN)",DEP-010,taxation_duties_and_revenue,Register a new business or taxpayer with the Inland Revenue Division to obtain a Taxpayer Registration Number.,True
SVC-TAX-002,Personal Income Tax Filing,DEP-010,taxation_duties_and_revenue,File personal income tax returns with the Inland Revenue Division.,True
SVC-TAX-003,Corporate Income Tax Filing,DEP-010,taxation_duties_and_revenue,File corporate income tax returns with the Inland Revenue Division.,True
SVC-TAX-004,Tax Clearance Certificate,DEP-010,taxation_duties_and_revenue,Apply for a tax clearance certificate for personal or business purposes.,True
SVC-TAX-005,E-User Registration (Tax e-Filing System),DEP-010,taxation_duties_and_revenue,Register as an e-user to access Grenada’s online tax e-filing system through the tax portal.,True
SVC-TAX-006,Property Tax Payment,DEP-010,taxation_duties_and_revenue,Pay annual property tax using Inland Revenue payment channels including the online tax portal.,True
SVC-TAX-007,Vehicle Licence Fee Payment,DEP-010,taxation_duties_and_revenue,Pay annual vehicle licence fees using Inland Revenue payment channels.,True
SVC-TAX-008,Value Added Tax (VAT) Registration,DEP-010,taxation_duties_and_revenue,Register for Value Added Tax (VAT) as required under Grenada’s tax laws.,True
SVC-TAX-009,VAT Return Filing,DEP-010,taxation_duties_and_revenue,Submit VAT returns and declarations to the Inland Revenue Division.,True
SVC-TAX-010,Withholding Tax Filing and Payment,DEP-010,taxation_duties_and_revenue,File and pay withholding tax withheld from relevant payments.,True
SVC-TAX-011,Annual Stamp Tax Filing,DEP-010,taxation_duties_and_revenue,File and pay Annual Stamp Tax where applicable.,True
SVC-TAX-012,Gaming Tax Filing,DEP-010,taxation_duties_and_revenue,File and pay Gaming Tax for licensed gaming activities.,True
SVC-TAX-013,Refreshment House Licence Application,DEP-010,taxation_duties_and_revenue,Apply for a Refreshment House Licence as required under tax and licensing regulations.,True
SVC-TAX-014,Property Transfer Tax Payment,DEP-010,taxation_duties_and_revenue,Pay Property Transfer Tax when property is transferred in Grenada.,True
SVC-CUS-001,Import Declaration (ASYCUDA),DEP-011,taxation_duties_and_revenue,Submit import declarations for goods entering Grenada via the ASYCUDA World customs system.,True
SVC-CUS-002,Export Declaration (ASYCUDA),DEP-011,taxation_duties_and_revenue,Submit export declarations for goods leaving Grenada via the ASYCUDA World customs system.,True
SVC-CUS-003,Electronic Customs Declaration Services (ASYCUDA World),DEP-011,taxation_duties_and_revenue,Use ASYCUDA World to submit and manage electronic customs declarations and supporting documents.,True
SVC-REG-001,Birth Certificate – Copy/Extract,DEP-013,identity_and_civil_registration,Request certified copies or extracts of birth records from the Civil Registry & Deeds.,True
SVC-REG-002,Marriage Certificate – Copy/Extract,DEP-013,identity_and_civil_registration,Request certified copies of marriage records from the Civil Registry & Deeds.,True
SVC-REG-003,Death Certificate – Copy/Extract,DEP-013,identity_and_civil_registration,Request certified copies of death records from the Civil Registry & Deeds.,True
SVC-REG-004,Marriage Licence Application,DEP-001,governance_elections_and_public_administration,Apply to the Cabinet Office for a marriage licence in Grenada.,True
SVC-POL-001,Police Certificate of Character,AGY-002,justice_legal_affairs_and_law_enforcement,Request a police certificate of character from the Royal Grenada Police Force for employment visas or other purposes.,True
SVC-WAT-001,New Water Connection,AGY-012,utilities_and_public_infrastructure,Apply to the National Water and Sewerage Authority (NAWASA) for a new domestic or commercial water connection.,True
SVC-WAT-002,Water Bill Payment,AGY-012,utilities_and_public_infrastructure,Pay water bills through NAWASA’s payment channels (office or approved agents and any available online options).,True
